symbol,name,exchange,has_history,can_predict,prediction_mode,ui_greyed,ui_badge,last_updated
BAJAJHCARE.NS,Bajaj Healthcare Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
BAJAJHFL.NS,Bajaj Housing Finance Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
BAJAJHIND.NS,Bajaj Hindusthan Sugar Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
BAJAJHLDNG.NS,Bajaj Holdings & Investment Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
BAJAJINDEF.NS,Indef Manufacturing Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
BAJEL.NS,Bajel Projects Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
BAJFINANCE.NS,Bajaj Finance Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
BALAJEE.NS,Shree Tirupati Balajee Agro Trading Company Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
BALAJITELE.NS,Balaji Telefilms Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
BALAMINES.NS,Balaji Amines Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
BALAXI.NS,BALAXI PHARMACEUTICALS LIMITED,NSE,True,True,full,False,FULL,2026-01-27 19:47
BALKRISHNA.NS,Balkrishna Paper Mills Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
BALKRISIND.NS,Balkrishna Industries Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
BALMLAWRIE.NS,Balmer Lawrie & Company Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
BALPHARMA.NS,Bal Pharma Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
BALRAMCHIN.NS,Balrampur Chini Mills Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
BALUFORGE.NS,Balu Forge Industries Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
BANARBEADS.NS,Banaras Beads Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
BANARISUG.NS,Bannari Amman Sugars Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
BANCOINDIA.NS,Banco Products (I) Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
BANDHANBNK.NS,Bandhan Bank Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
BANG.NS,Bang Overseas Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
BANKA.NS,Banka BioLoo Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
BANKBARODA.NS,Bank of Baroda,NSE,True,True,full,False,FULL,2026-01-27 19:47
BANKINDIA.NS,Bank of India,NSE,True,True,full,False,FULL,2026-01-27 19:47
BANSALWIRE.NS,Bansal Wire Industries Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
BANSWRAS.NS,Banswara Syntex Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
BASF.NS,BASF India Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
BASML.NS,Bannari Amman Spinning Mills Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
BATAINDIA.NS,Bata India Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
BAYERCROP.NS,Bayer Cropscience Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
BBL.NS,Bharat Bijlee Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
BBOX.NS,Black Box Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
BBTC.NS,The Bombay Burmah Trading Corporation Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
BBTCL.NS,B&B Triplewall Containers Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
BCG.NS,Brightcom Group Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
BCLIND.NS,Bcl Industries Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
